timestamp;temperature;humidity;speed
2021-01-01T12:00:00;23,213005;77;5,6002855
2021-01-01T13:00:00;23,173004;78;6,1305785
2021-01-01T14:00:00;23,153006;78;5,8048253
2021-01-01T15:00:00;23,163004;78;4,198285
2021-01-01T16:00:00;23,763004;76;3,0758414
2021-01-01T17:00:00;23,613005;77;2,0991426
2021-01-01T18:00:00;22,833004;80;2,52
2021-01-01T19:00:00;22,083004;85;3,319036
2021-01-01T20:00:00;21,243004;90;3,319036
2021-01-01T21:00:00;20,693005;92;3,2599385
2021-01-01T22:00:00;20,543005;93;2,8799999
2021-01-01T23:00:00;20,373005;93;1,484318
2021-01-02T00:00:00;20,203005;94;1,2979984
2021-01-02T01:00:00;19,913004;95;1,5273507
2021-01-02T02:00:00;19,333004;98;1,8
2021-01-02T03:00:00;19,313005;97;1,9386592
2021-01-02T04:00:00;19,243004;96;1,08
2021-01-02T05:00:00;19,233006;96;0,71999997
2021-01-02T06:00:00;19,103004;96;1,484318
2021-01-02T07:00:00;20,103004;91;0,8049845
2021-01-02T08:00:00;21,063005;89;2,2768397
2021-01-02T09:00:00;22,123005;84;3,0758414
2021-01-02T10:00:00;22,833004;80;1,08
2021-01-02T11:00:00;24,003004;75;2,3051248
2021-01-02T12:00:00;23,693005;75;2,6208394
2021-01-02T13:00:00;23,883005;73;3,671294
2021-01-02T14:00:00;23,773005;72;4,32
2021-01-02T15:00:00;23,693005;72;4,510787
2021-01-02T16:00:00;23,353004;73;5,991594
2021-01-02T17:00:00;23,083004;74;6,9247384
2021-01-02T18:00:00;22,023005;77;6,696387
2021-01-02T19:00:00;21,163004;79;6,12
2021-01-02T20:00:00;20,863005;81;4,802999
2021-01-02T21:00:00;20,803005;83;3,396233
2021-01-02T22:00:00;20,843004;83;1,609969
2021-01-02T23:00:00;20,843004;83;0,71999997
2021-01-03T00:00:00;20,693005;84;1,1384199
2021-01-03T01:00:00;20,553005;85;1,609969
2021-01-03T02:00:00;20,373005;86;1,4399999
2021-01-03T03:00:00;20,203005;88;1,4399999
2021-01-03T04:00:00;19,993004;90;2,1897945
2021-01-03T05:00:00;19,793005;90;2,16
2021-01-03T06:00:00;19,613005;91;1,8
2021-01-03T07:00:00;20,923004;94;1,484318
2021-01-03T08:00:00;21,203005;92;2,968636
2021-01-03T09:00:00;22,073006;87;2,0364676
2021-01-03T10:00:00;22,723005;80;3,319036
2021-01-03T11:00:00;22,833004;80;5,6002855
2021-01-03T12:00:00;22,693005;82;5,692099
2021-01-03T13:00:00;22,083004;84;4,0249224
2021-01-03T14:00:00;22,353004;80;1,4399999
2021-01-03T15:00:00;22,543005;79;1,08
2021-01-03T16:00:00;22,843004;77;1,0182338
2021-01-03T17:00:00;22,633005;76;2,0364676
2021-01-03T18:00:00;22,473005;77;2,52
2021-01-03T19:00:00;21,403006;86;4,32
2021-01-03T20:00:00;20,923004;91;3,2599385
2021-01-03T21:00:00;21,133005;89;5,0528407
2021-01-03T22:00:00;21,473005;85;3,9763298
2021-01-03T23:00:00;21,513004;84;2,2768397
2021-01-04T00:00:00;20,603004;90;3,5455887
2021-01-04T01:00:00;20,333004;93;3,4152596
2021-01-04T02:00:00;20,043005;94;2,2768397
2021-01-04T03:00:00;19,873005;95;1,609969
2021-01-04T04:00:00;19,793005;96;1,2979984
2021-01-04T05:00:00;19,813005;96;1,0182338
2021-01-04T06:00:00;19,813005;95;0,35999998
2021-01-04T07:00:00;19,943005;95;1,484318
2021-01-04T08:00:00;20,173004;92;1,8
2021-01-04T09:00:00;21,703005;86;3,0547013
2021-01-04T10:00:00;22,403006;80;2,7416782
2021-01-04T11:00:00;22,173004;82;3,319036
2021-01-04T12:00:00;22,343004;81;3,0758414
2021-01-04T13:00:00;22,263004;82;1,8
2021-01-04T14:00:00;22,353004;80;0,71999997
2021-01-04T15:00:00;22,663004;77;0,35999998
2021-01-04T16:00:00;22,613005;77;1,8
2021-01-04T17:00:00;22,313005;79;1,8
2021-01-04T18:00:00;21,843004;81;1,8
2021-01-04T19:00:00;21,453005;83;2,0364676
2021-01-04T20:00:00;21,413004;85;2,5455842
2021-01-04T21:00:00;21,373005;86;6,379216
2021-01-04T22:00:00;21,493004;84;5,00128
2021-01-04T23:00:00;21,423004;85;5,6233797
2021-01-05T00:00:00;20,833004;86;5,904439
2021-01-05T01:00:00;20,533005;87;5,1544156
2021-01-05T02:00:00;20,303005;88;5,0528407
2021-01-05T03:00:00;19,763004;92;5,634891
2021-01-05T04:00:00;19,263004;94;5,8048253
2021-01-05T05:00:00;19,163004;96;5,495161
2021-01-05T06:00:00;19,033005;97;4,3349743
2021-01-05T07:00:00;18,883005;97;6,12
2021-01-05T08:00:00;19,163004;96;1,08
2021-01-05T09:00:00;19,993004;93;2,5455842
2021-01-05T10:00:00;20,613005;91;2,5455842
2021-01-05T11:00:00;20,903006;93;4,6800003
2021-01-05T12:00:00;20,693005;93;2,7416782
2021-01-05T13:00:00;20,803005;93;0
2021-01-05T14:00:00;21,133005;93;0,8049845
2021-01-05T15:00:00;21,113005;91;0,71999997
2021-01-05T16:00:00;21,173004;91;2,2768397
2021-01-05T17:00:00;21,433004;87;3,8268526
2021-01-05T18:00:00;21,483006;86;3,396233
2021-01-05T19:00:00;21,223005;89;4,802999
2021-01-05T20:00:00;20,463005;92;2,2768397
2021-01-05T21:00:00;20,073006;92;7,9526596
2021-01-05T22:00:00;20,423004;86;2,6208394
2021-01-05T23:00:00;20,663004;83;1,835647
2021-01-06T00:00:00;20,313005;85;2,9024127
2021-01-06T01:00:00;20,093004;86;2,52
2021-01-06T02:00:00;20,053005;86;1,4399999
2021-01-06T03:00:00;19,933004;87;1,484318
2021-01-06T04:00:00;19,673004;89;1,08
2021-01-06T05:00:00;19,563005;91;1,0182338
2021-01-06T06:00:00;19,543005;90;1,609969
2021-01-06T07:00:00;19,543005;92;1,08
2021-01-06T08:00:00;20,303005;90;1,4399999
2021-01-06T09:00:00;21,093004;85;4,198285
2021-01-06T10:00:00;21,673004;83;5,5887027
2021-01-06T11:00:00;21,573006;87;3,319036
2021-01-06T12:00:00;22,003004;84;3,5455887
2021-01-06T13:00:00;22,583004;79;2,9024127
2021-01-06T14:00:00;22,713005;77;2,1897945
2021-01-06T15:00:00;22,513004;78;2,8116899
2021-01-06T16:00:00;22,133005;81;3,096837
2021-01-06T17:00:00;21,733006;84;1,4399999
2021-01-06T18:00:00;21,483006;84;1,1384199
2021-01-06T19:00:00;20,993004;88;1,08
2021-01-06T20:00:00;20,563005;91;2,5455842
2021-01-06T21:00:00;20,493004;91;6,151683
2021-01-06T22:00:00;20,643005;88;2,3051248
2021-01-06T23:00:00;20,853004;84;1,4399999
2021-01-07T00:00:00;20,713005;83;2,16
2021-01-07T01:00:00;20,403006;83;1,2979984
2021-01-07T02:00:00;20,293005;82;2,3051248
2021-01-07T03:00:00;20,183004;83;1,484318
2021-01-07T04:00:00;19,683004;86;1,8
2021-01-07T05:00:00;19,083004;90;0,71999997
2021-01-07T06:00:00;19,163004;89;2,16
2021-01-07T07:00:00;19,293005;91;3,2399998
2021-01-07T08:00:00;20,503004;88;2,1897945
2021-01-07T09:00:00;21,793005;83;1,8
2021-01-07T10:00:00;23,213005;76;3,8268526
2021-01-07T11:00:00;24,263004;73;6,1305785
2021-01-07T12:00:00;23,313005;75;7,127636
2021-01-07T13:00:00;22,923004;77;5,6002855
2021-01-07T14:00:00;22,833004;77;3,563818
2021-01-07T15:00:00;22,783005;76;3,5455887
2021-01-07T16:00:00;22,583004;77;3,5455887
2021-01-07T17:00:00;22,823006;77;3,219938
